Date,Adj Close,Adj Close - Dow Jones,Adj Close – NASDAQ,Spx – Adj Close,Adj Close IEF,Adj Close SHY,Adj Close TIP,CWSR0000SA0,INDPRO,IR3TIB01USM156N,Brent,Crude Oil,Gold,Natural gas,S&P GSCI
1975-10-01,101.610001,,,,,,,55.2,41.9223,6.56,,,,,
1975-11-01,103.529999,,,,,,,55.6,41.9745,6.26,,,,,
1975-12-01,103.510002,,,,,,,55.9,42.5521,6.03,,,,,
1976-01-01,103.879997,,,,,,,56.2,43.1271,5.14,,,,,
1976-02-01,103.660004,,,,,,,56.2,43.5561,5.18,,,,,
1976-03-01,105.339996,,,,,,,56.3,43.6464,5.34,,,,,
1976-04-01,106.230003,,,,,,,56.5,43.8709,5.12,,,,,
1976-05-01,107.290001,,,,,,,56.7,44.055,5.56,,,,,
1976-06-01,106.639999,,,,,,,57,44.0988,5.84,,,,,
1976-07-01,106.559998,,,,,,,57.3,44.3519,5.52,,,,,
1976-08-01,106.129997,,,,,,,57.6,44.6538,5.39,,,,,
1976-09-01,105.5,,,,,,,57.9,44.7817,5.33,,,,,
1976-10-01,105.940002,,,,,,,58.2,44.783,5.12,,,,,
1976-11-01,106.190002,,,,,,,58.4,45.4764,5.01,,,,,
1976-12-01,104.559998,,,,,,,58.7,45.9469,4.67,,,,,
1977-01-01,105.540001,,,,,,,59.1,45.6487,4.83,,,,,
1977-02-01,105.260002,,,,,,,59.6,46.3805,4.83,,,,,
1977-03-01,105.029999,,,,,,,59.9,46.9566,4.84,,,,,
1977-04-01,104.389999,,,,,,,60.3,47.4185,4.8,,,,,
1977-05-01,104.519997,,,,,,,60.6,47.7834,5.36,,,,,
1977-06-01,103.839996,,,,,,,60.9,48.1403,5.42,,,,,
1977-07-01,102.860001,,,,,,,61.2,48.1927,5.46,,,,,
1977-08-01,103.639999,,,,,,,61.4,48.2499,5.9,,,,,
1977-09-01,103.209999,,,,,,,61.7,48.4515,6.19,,,,,
1977-10-01,100.959999,,,,,,,61.9,48.5177,6.67,,,,,
1977-11-01,100.370003,,,,,,,62.3,48.6111,6.68,,,,,
1977-12-01,96.440002,,,,,,,62.6,48.6743,6.71,,,,,
1978-01-01,96.639999,,,,,,,63,47.9744,6.94,,,,,
1978-02-01,94.599998,,,,,,,63.3,48.2322,6.9,,,,,
1978-03-01,93.839996,,,,,,,63.8,49.1693,6.86,,,,,
1978-04-01,95.620003,,,,,,,64.2,50.1546,7.03,,,,,
1978-05-01,95.459999,,,,,,,64.8,50.3971,7.4,,,,,
1978-06-01,93.529999,,,,,,,65.3,50.7005,7.83,,,,,
1978-07-01,90.940002,,,,,,,65.8,50.6512,8.12,,,,,
1978-08-01,90,,,,,,,66.2,50.8676,8.06,,,,,
1978-09-01,88.830002,,,,,,,66.7,51.0077,8.64,,,,,
1978-10-01,83.07,,,,,,,67.4,51.3902,9.44,,,,,
1978-11-01,90.220001,,,,,,,67.8,51.781,10.72,,,,,
1978-12-01,86.5,,,,,,,68.3,52.0449,10.72,,,,,
1979-01-01,88.860001,,,,,,,68.8,51.7484,10.51,,,,,
1979-02-01,88.18,,,,,,,69.6,52.0053,10.19,,,,,
1979-03-01,88.529999,,,,,,,70.3,52.1613,10.13,,,,,
1979-04-01,89.980003,,,,,,,71.1,51.5654,10.06,,,,,
1979-05-01,90.529999,,,,,,,71.9,52.0022,10.16,,,,,
1979-06-01,87.849998,,,,,,,72.7,52.008,9.95,,,,,
1979-07-01,87.309998,,,,,,,73.5,51.9231,10.11,,,,,
1979-08-01,87.190002,,,,,,,74.2,51.5966,10.71,,,,,
1979-09-01,85.449997,,,,,,,75,51.5842,11.89,,,,,
1979-10-01,88.949997,,,,,,,75.7,51.9405,13.66,,,,,
1979-11-01,86.790001,,,,,,,76.5,51.8626,13.9,,,,,
1979-12-01,85.82,,,,,,,77.3,51.9025,13.43,,,,,
1980-01-01,86.139999,,,,,,,78.5,52.1712,13.39,,,,,
1980-02-01,87.650002,,,,,,,79.4,52.1976,14.3,,,,,
1980-03-01,93.580002,,,,,,,80.6,51.9834,17.57,,,,,
1980-04-01,88.110001,,,,,,,81.4,50.9746,16.14,,,,,
1980-05-01,85.93,,,,,,,82.2,49.7086,9.79,,,,,
1980-06-01,85.199997,,,,,,,83,49.0754,8.49,,,,,
1980-07-01,86.080002,,,,,,,83.1,48.7001,8.65,,,,,
1980-08-01,85.849998,,,,,,,83.7,48.8535,9.91,,,,,
1980-09-01,86.019997,,,,,,,84.4,49.6791,11.29,,,,,
1980-10-01,88.379997,,,,,,,85.3,50.3058,12.94,,,,,
1980-11-01,90.010002,,,,,,,86.2,51.1348,15.68,,,,,
1980-12-01,90.389999,,,,,,,87,51.4875,18.65,,,,,
1981-01-01,95.239998,,,,,,,87.7,51.1668,17.19,,,,,
1981-02-01,97.059998,,,,,,,88.6,50.9509,16.14,,,,,
1981-03-01,96.760002,,,,,,,89.1,51.2066,14.43,,,,,
1981-04-01,100.449997,,,,,,,89.6,50.9711,15.08,,,,,
1981-05-01,104.949997,,,,,,,90.2,51.2645,18.27,,,,,
1981-06-01,107.709999,,,,,,,90.9,51.5247,16.9,,,,,
1981-07-01,111.720001,,,,,,,92,51.8727,17.76,,,,,
1981-08-01,110.279999,,,,,,,92.7,51.8156,17.96,,,,,
1981-09-01,107.730003,,,,,,,93.5,51.5692,16.84,,,,,
1981-10-01,106.129997,,,,,,,93.8,51.1851,15.39,,,,,
1981-11-01,103.18,,,,,,,94.2,50.5914,12.48,,,,,
1981-12-01,104.690002,,,,,,,94.5,50.053,12.49,,,,,
1982-01-01,108.029999,,,,,,,94.8,49.0358,13.51,,,,,
1982-02-01,111.93,,,,,,,95.1,50.0309,15,,,,,
1982-03-01,114.730003,,,,,,,95,49.6876,14.21,,,,,
1982-04-01,111.599998,,,,,,,95.3,49.2266,14.44,,,,,
1982-05-01,112.790001,,,,,,,96.1,48.8924,13.8,,,,,
1982-06-01,119.040001,,,,,,,97.3,48.7588,14.46,,,,,
1982-07-01,119.050003,,,,,,,97.8,48.5887,13.44,,,,,
1982-08-01,120.290001,,,,,,,98.1,48.1582,10.61,,,,,
1982-09-01,122.199997,,,,,,,98.1,48.0164,10.66,,,,,
1982-10-01,124.779999,,,,,,,98.5,47.571,9.51,,,,,
1982-11-01,121,,,,,,,98.4,47.4235,8.95,,,,,
1982-12-01,117.360001,,,,,,,98.1,47.0712,8.66,,,,,
1983-01-01,121.120003,,,,,,,98.2,47.9518,8.36,,,,,
1983-02-01,120.349998,,,,,,,98.2,47.6648,8.54,,,,,
1983-03-01,122.209999,,,,,,,98.5,48.054,8.69,,,,,
1983-04-01,122.389999,,,,,,,99.1,48.6536,8.63,,,,,
1983-05-01,123.790001,,,,,,,99.5,48.9668,8.49,,,,,
1983-06-01,124.940002,,,,,,,99.7,49.251,9.2,,,,,
1983-07-01,128.440002,,,,,,,100,49.9861,9.5,,,,,
1983-08-01,130.839996,,,,,,,100.5,50.5862,9.77,,,,,
1983-09-01,128.350006,,,,,,,100.7,51.3227,9.39,,,,,
1983-10-01,128.399994,,,,,,,101,51.714,9.18,,,,,
1983-11-01,130.639999,,,,,,,101.2,51.9425,9.36,,,,,
1983-12-01,131.789993,,,,,,,101.3,52.1897,9.69,,,,,
1984-01-01,135.509995,,,,,,,101.8,53.2371,9.42,,,,,
1984-02-01,128.25,,,,,,,102,53.4741,9.54,,,,,
1984-03-01,128.220001,,,,,,,102,53.7313,10.08,,,,,
1984-04-01,132.639999,,,,,,,102.2,54.0454,10.41,,,,,
1984-05-01,133.690002,,,,,,,102.5,54.3263,11.11,,,,,
1984-06-01,136.259995,,,,,,,102.7,54.5095,11.34,,,,,
1984-07-01,141.289993,,,,,,,103.2,54.6658,11.56,,,,,
1984-08-01,140.330002,,,,,,,104.1,54.7307,11.47,,,,,
1984-09-01,147.550003,,,,,,,104.5,54.5783,11.29,,,,,
1984-10-01,146.389999,,,,,,,104.7,54.5549,10.38,,,,,
1984-11-01,149.210007,,,,,,,104.8,54.74,9.18,,,,,
1984-12-01,151.470001,,,,,,,104.9,54.7733,8.6,,,,,
1985-01-01,152.720001,,278.700012,,,,,105.2,54.7203,8.14,,,,,
1985-02-01,160.410004,,284.200012,,,,,105.7,54.91,8.69,,,,,
1985-03-01,149.179993,,279.200012,,,,,106.1,54.9841,9.02,,,,,
1985-04-01,149.699997,,280.600006,,,,,106.4,54.8853,8.49,,,,,
1985-05-01,147.860001,,290.799988,,,,,106.6,54.952,7.92,,,,,
1985-06-01,146.119995,,296.200012,,,,,106.9,54.9269,7.44,,,,,
1985-07-01,137.259995,,301.299988,,,,,107,54.642,7.64,,,,,
1985-08-01,138.199997,,297.700012,,,,,107.1,54.8269,7.81,,,,,
1985-09-01,132.119995,,280.299988,,,,,107.3,55.0447,7.93,,,,,
1985-10-01,129.389999,,292.5,,,,,107.7,54.8418,7.88,,,,,
1985-11-01,124.989998,,314,,,,,108.2,55.0381,7.81,,,,,
1985-12-01,123.459999,,324.899994,,,,,108.7,55.5958,7.8,,,,,
1986-01-01,121.519997,,335.799988,,,,,109.1,55.8793,7.82,,,,,
1986-02-01,115.080002,,359.5,,,,,108.8,55.4963,7.69,,,,,
1986-03-01,117.919998,,374.700012,,,,,108.1,55.097,7.24,,,,,
1986-04-01,111.769997,,383.200012,,,,,107.7,55.16,6.6,,,,,
1986-05-01,117.510002,,400.200012,,,,,107.8,55.2556,6.65,,,,,
1986-06-01,111.610001,,405.5,,,,,108.3,55.0449,6.73,,,,,
1986-07-01,108.040001,,371.399994,,,,,108.3,55.3725,6.37,,,,,
1986-08-01,106.43,,382.899994,,,,,108.4,55.2845,5.92,,,,,
1986-09-01,106.739998,,350.700012,,,,,108.8,55.4459,5.71,,,,,
1986-10-01,109.269997,,360.799988,,,,,108.9,55.6766,5.69,,,,,
1986-11-01,105.919998,,359.600006,,,,,109.2,55.8828,5.76,,,,,
1986-12-01,103.580002,,348.799988,,,,,109.5,56.4269,6.04,,,,,
1987-01-01,99.860001,,392.100006,,,,,110.2,56.2123,5.87,,,,,
1987-02-01,99.260002,,425,,,,,110.7,56.9589,6.1,,,,,
1987-03-01,97.110001,,430.100006,,,,,111.1,57.0365,6.17,,,,,
1987-04-01,95.940002,,417.799988,,,,,111.6,57.3995,6.52,,,,,
1987-05-01,97.769997,,416.5,,,,,111.9,57.7653,6.99,,,,,
1987-06-01,98.129997,,424.700012,,,,,112.4,58.0726,6.94,,,,,
1987-07-01,99.790001,,434.899994,,,,,112.7,58.4772,6.7,,,,,
1987-08-01,97.32,,455,,,,,113.2,58.9076,6.75,,,,,
1987-09-01,98.57,,444.299988,,,,,113.6,59.1237,7.37,,,,,
1987-10-01,93.650002,,323.299988,,,,,113.9,59.9408,8.02,,,,,
1987-11-01,89.150002,,305.200012,,,,,114.2,60.2323,7.24,,,,,
1987-12-01,85.419998,,330.5,,,,,114.4,60.5629,7.66,,,,,
1988-01-01,90.339996,,344.700012,,,,,114.7,60.564,6.92,,,,,
1988-02-01,90.529999,,367,,,,,114.9,60.8632,6.6,,,,,
1988-03-01,88.300003,,374.600006,,,,,115.2,61.0006,6.63,,,,,
1988-04-01,89.160004,,379.200012,,,,,115.8,61.3536,6.92,,,,,
1988-05-01,91.089996,,370.299988,,,,,116.2,61.2454,7.24,,,,,
1988-06-01,95.410004,,394.700012,,,,,116.6,61.4107,7.51,,,,,
1988-07-01,97.529999,,387.299988,,,,,117.3,61.4169,7.94,,,,,
1988-08-01,98.419998,,376.600006,,,,,117.7,61.7365,8.35,,,,,
1988-09-01,97.690002,,387.700012,,,,,118.2,61.5395,8.23,,,,,
1988-10-01,93.760002,,382.5,,,,,118.6,61.7996,8.36,,,,,
1988-11-01,90.529999,,371.5,,,,,118.9,61.9552,8.78,,,,,
1988-12-01,92.5,,381.399994,,,,,119.3,62.2362,9.25,,,,,
1989-01-01,96.769997,,401.299988,,,,,119.9,62.4165,9.2,,,,,
1989-02-01,94.900002,,399.700012,,,,,120.3,62.1423,9.51,,,,,
1989-03-01,98.139999,,406.700012,,,,,120.9,62.3049,10.09,,,,,
1989-04-01,97.709999,,427.600006,,,,,121.9,62.2966,9.94,,,,,
1989-05-01,102.980003,,446.200012,,,,,122.5,61.9483,9.59,,,,,
1989-06-01,102.019997,,435.299988,,,,,122.8,61.9423,9.2,,,,,
1989-07-01,97.389999,,453.799988,,,,,123.2,61.3334,8.76,,,,,
1989-08-01,102.279999,,469.299988,,,,,123.2,61.9394,8.64,,,,,
1989-09-01,98.470001,,472.899994,,,,,123.4,61.7394,8.78,,,,,
1989-10-01,98.07,,455.600006,,,,,123.9,61.6605,8.6,,,,,
1989-11-01,96.269997,,456.100006,,,,,124.4,61.8627,8.39,,,,,
1989-12-01,93.209999,,454.799988,,,,,124.9,62.2192,8.32,,,,,
1990-01-01,92.410004,,415.799988,329.08,,,,126.1,61.9021,8.16,,,,,
1990-02-01,93.290001,,425.799988,331.89,,,,126.6,62.464,8.22,,,,,
1990-03-01,93.690002,,435.5,339.94,,,,127,62.7645,8.35,,,,,
1990-04-01,93.07,,420.100006,330.8,,,,127.3,62.6499,8.42,,,,,
